name,shoots,height_cm,weight_kg
Jarnell Stokes,Right,205.74,119.402
Jarrett Jack,Right,190.5,91.708
Jarron Collins,Right,210.82,115.77
Jarvis Hayes,Right,200.66,99.88
Jarvis Varnado,Right,205.74,104.42
Jason Caffey,Right,203.2,115.77
Jason Collier,Left,213.36,118.04
Jason Collins,Right,213.36,115.77
Jason Hart,Right,190.5,83.99
Jason Kapono,Right,203.2,96.702
Jason Kidd,Right,193.04,93.07
Jason Maxiell,Right,200.66,118.04
Jason Miskiri,Right,187.96,79.45
Jason Richardson,Right,198.12,99.88
Jason Smith,Right,213.36,108.96
Jason Terry,Right,187.96,79.904
Jason Thompson,Right,210.82,113.5
Jason Williams,Right,185.42,86.26
JaVale McGee,Right,213.36,107.598
Javaris Crittenton,Right,195.58,90.8
Jawad Williams,Right,205.74,98.972
Jay Williams,Right,187.96,88.53
Jeff Adrien,Right,200.66,110.322
Jeff Ayres,Right,205.74,108.96
Jeff Foote,Right,213.36,120.31
Jeff Foster,Right,210.82,107.144
Jeff Green,Right,205.74,106.69
Jeff Hornacek,Right,190.5,86.26
Jeff McInnis,Right,193.04,86.26
Jeff Teague,Right,187.96,81.72
Jeff Trepagnier,Left,193.04,90.8
